date,reported_by,description,incident_type,severity,status
11/20/2019,Lazarus Group,The North Korean threat actor Lazarus Group targeted South Korean macOS users with a new malware variant.,Espionage,High,Open
10/10/2019,Unknown,ESET researchers discovered a new malware called Attor that has been used to target only a few dozen victims since 2013. The victims include diplomatic and government institutions and the malware is designed to steal encryption information from certain applications.,Espionage,Medium,Investigating
9/3/2019,"Believed to be the work of at least two unnamed APT groups, including Evil Eye","Multiple threat actors compromised and exploited eleven websites that published news and cultural information related to the Uighur populations in China, particularly the East Turkestan region. The threat actors imitated the domains of Google, the Turkistan Times, and the Uyghur Academy, and used Google applications to gain access to Gmail accounts. Among other sensitive details collected were the hacked devices’ unique identification numbers, phone numbers, locations, central processing unit (CPU) data, and usernames.",Espionage,HIgh,Investigating
12/6/2019,Ocean Lotus,"Ocean Lotus (aka APT 32), a threat actor aligned with the Vietnamese government, attacked BMW and Hyundai in an attempt to steal automotive trade secrets.",Espionage,Critical,Resolved
5/6/2019,APT 3,The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.,Espionage,High,Resolved
10/14/2019,Believed to be the work of Turbine Panda,A threat actor conducted a multiyear espionage effort aimed at the theft of intellectual property from European and North American aerospace companies to further the development of China's C919 aircraft.,Espionage,Low,Investigating
10/31/2019,Government of Uzbkeistan,"Unit 02616 of Uzbekistan’s National Security Service used FinFisher, a German spyware, to attack dissidents.",Espionage,Critical,Investigating
10/12/2019,,"This threat actor, believed to be linked to Saudi Arabia, targets Saudi dissidents and foreign journalists with NSO Group's Pegasus malware. ",,High,Open
2/26/2019,U.S. Cyber Command,"U.S. Cyber Command conducted operations to disable online activities of the Internet Research Agency (IRA), a Russia-based company closely affiliated to the Russian government that conducts information operations. The operation was meant to prevent the IRA from interfering in the 2018 U.S. midterm elections.",Sabotage,High,Resolved
9/5/2019,"Believed to be the work of APT 5, also known as Manganese, and several other threat groups.",Multiple threat actors targeted secure sockets layer (SSL) virtual private network (VPN) servers provided by cybersecurity companies Fortinet and Pulse Secure. It is uncertain whether the attacks were successful.,,Medium,Open
12/12/2019,Gallium,"Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.",Espionage,HIgh,Investigating
4/15/2019,APTs associated with Beijing,This threat actor compromised Amnesty International Hong Kong's system to steal the personal information of supporters.,Espionage,Critical,Investigating
10/16/2019,Government of the United States,The United States carried out a cyberattack against Iran designed to limit Tehran’s ability to spread propaganda in retaliation for the September 14 attacks on Saudi oil facilities.,Data destruction,High,Resolved
11/5/2019,,"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",,Low,Resolved
10/10/2019,Government of Morocco,Amnesty International released a report showing how Morocco’s government used the NSO Group’s Pegasus malware to target two human rights activists in Morocco.,Espionage,Critical,Investigating
1/9/2019,Suspected to be the work of Iranian actors.,An unknown actor with a connection to Iran hijacked DNS records to target the traffic of governments and telecommunications organizations around the world.,Espionage,High,Investigating
12/12/2019,,Gallium is a possibly China-linked threat actor that has carried out attacks against telecom companies across the globe.,,High,Open
4/2/2019,Iranian Revolutionary Guard,"A threat actor compromised the British Post Office and local government networks, stealing personal data—including email addresses and mobile phone numbers—of thousands of employees.",Espionage,Medium,Resolved
8/20/2019,"Believed to be the work of Sednit, also known as APT 28, Fancy Bear, and Strontium.","A threat actor targeted embassies and foreign ministries in Eastern Europe and Central Asia with a phishing campaign that deployed a form of Zebrocy malware on computers, creating backdoors. ",,HIgh,Open
10/17/2019,the Dukes,"Believed to have gone dark, Russian threat actor the Dukes targeted the ministries of foreign affairs of three European countries and a European Union (EU) country embassy in the United States with malware.",Espionage,Critical,Investigating
11/29/2018,Believed to be the work of Russian hacker group Snake.,"German security officials detected a cyberattack, believed to be by the Russian group Snake, on the email accounts of German celebrities, lawmakers, military officials, and staff of several German embassies.",Doxing,High,Investigating
7/23/2018,"Believed to be the work of Russian state-sponsored group Dragonfly, also known as Energetic Bear","A threat actor compromised air-gapped, or isolated, networks owned by U.S. electric utility companies by penetrating the networks of trusted vendors.",Sabotage,Low,Resolved
1/25/2018,,"A threat actor successfully compromised the networks of the Dukes, gaining visibility into the Dukes’ targeting methods and operations. This compromise allegedly helped the U.S. intelligence community to attribute the 2016 compromise of the Democratic National Committee and other entities to Russian state-sponsored actors.",Espionage,Critical,Resolved
7/12/2018,Believed to be the work of Sandworm.,"A threat actor targets German media companies and organizations involved in chemical weapons research, for the purpose of espionage.",Espionage,High,Investigating
9/21/2018,,"This threat actor targets government and private-sector entities in the defense, maritime, and science and technology sectors in China for espionage purposes. It is particularly interested in information related to cross–Taiwan Strait and U.S.-Sino relations.",Espionage,High,Investigating
3/13/2018,,"This threat actor targets Uighurs—a minority ethnic group located primarily in northwestern China—and devices from Chinese mobile phone manufacturer Xiaomi, for espionage purposes.",Espionage,Medium,Open
10/4/2018,Believed to be the work of APT 28,"A threat actor compromised the Federation Internationale de Football Association (FIFA). Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",Espionage,HIgh,Resolved
5/15/2018,,"This threat actor, which consists of Stealth Mango (Android) and Tangelo (iOS), targets government officials, diplomats, military personnel, and activists in primarily Afghanistan, India, Iraq, Pakistan, and the United Arab Emirates for espionage.",Espionage,Critical,Open
7/26/2018,Believed to be the work of APT 28,"The office of U.S. Senator Claire McCaskill (D-MO) announced that it was targeted by Russian state-sponsored cyber actors, following a report of the incident in the Daily Beast.",Espionage,High,Investigating
11/30/2018,Suspected to be the work of Chinese operatives working for the Ministry of State Security.,Marriott reported a massive data breach that affected up to five hundred million customers in its Starwood hotels reservation system. U.S. private investigators believe China is behind the hack.,Espionage,Low,Investigating
2/12/2018,,"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",Sabotage,Critical,Resolved
6/19/2018,Also known as Billbug and Lotus Blossom.,"This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",Espionage,High,Resolved
8/24/2018,Also known as the Silent Librarian. Believed to be associated with the Mabna Institute.,This threat actor targets universities around the world for espionage purposes.,Espionage,High,Investigating
4/12/2018,Believed to be associated with the U.S. targeting of the Islamic State Group.,"The United Kingdom’s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a “major offensive cyber campaign” directed at the Islamic State, with the purpose of disrupting the group’s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",Sabotage,Medium,Investigating
10/4/2018,Believed to be the work of APT 28,"A threat actor targeted Westinghouse Electric Company, a nuclear power developer, for espionage purposes. One of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), was indicted by the U.S. Justice Department.",Espionage,HIgh,Open
5/15/2018,Believed to be associated with the Lazarus Group,"A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",Espionage,Critical,Resolved
8/2/2018,,This threat actor targets entities that operate industrial control systems in the electric utility sector.,Espionage,High,Open
12/4/2018,Believed to be the work of a Russian hacking group.,Ukraine’s security agency thwarted an attack attempting to target the country’s court system.,Espionage,Low,Investigating
2/20/2018,Also known as Reaper and Group 123,"This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",,Critical,Investigating
6/7/2018,Believed to be the work of Crouching Yeti,"A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany’s domestic intelligence agency accused Russia of controlling the targeting campaign.",Espionage,High,Resolved
10/1/2018,,"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",Espionage,High,Resolved
6/13/2018,,A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.,Espionage,Medium,Investigating
4/16/2018,Believed to be associated with Sandworm. Also known as VPNFilter.,"The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.",Sabotage,HIgh,Investigating
8/2/2018,,This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.,Espionage,Critical,Open
12/7/2018,Unknown,"An attack targeted computer systems in both houses of the Parliament of Australia. The systems of the ruling Liberal-National Coalition Party and Labor, the main opposition party, were compromised, but there is no evidence of electoral interference.",,High,Resolved
2/28/2018,,"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.",Espionage,Low,Open
6/26/2018,"Believed to use similar infrastructure as the NetTraveler, Icefog, and APT 17 threat actors","This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",Espionage,Critical,Investigating
7/19/2018,Believed to be the work of APT 28,A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.,Espionage,High,Investigating
6/5/2018,Believed to be the work of TempTick and Turla,"Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",Espionage,High,Resolved
3/28/2018,,"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.",Espionage,Medium,Resolved
6/26/2018,Believed to use similar tools as DragonOK,"This threat actor uses spear-phishing techniques to target political organizations in Southeast Asia, for the purpose of espionage.",Espionage,HIgh,Investigating
8/1/2018,,"A threat actor targeted Yahya Assiri, a critic of the Kingdom of Saudi Arabia and a researcher at Amnesty International, for espionage purposes. The threat actor used the Pegasus tool, created by the NSO Group.",Espionage,Critical,Investigating
7/20/2018,Believed to be the work of Whitefly. ,"A threat actor compromises the networks of SingHealth, the largest health-care provider in Singapore. Personal data of over 1.5 million patients was compromised, including the pharmaceutical prescriptions of 160,000 people.",Espionage,High,Open
6/5/2018,Believed to be responsible for the targeting of South Korean actors prior to the meeting of Donald J. Trump and Kim Jong-un.,"This threat actor targets organizations in the finance, defense, aerospace, technology, health-care, and automotive sectors and media organizations in East Asia for the purpose of espionage. This threat actor is also known for targeting a South Korean company that produces USB sticks generally used to transfer data to air-gapped networks.",,Low,Resolved
8/16/2018,,"A threat actor is targeting multiple organizations with trade ties to China, including those connected with China’s Belt and Road Initiative. The actor also targets organizations in advance of officials’ meetings with Chinese trade officials.",Espionage,Critical,Open
12/12/2018,Believed to be connected to the Iranian government.,"This threat actor, operating since November 2014, focuses on the Middle East. It mainly targets the telecommunications industry, and also targets the travel industry and supporting IT firms, and the high-tech industry.",,High,Investigating
2/28/2018,Believed to be the work of APT 28,A threat actor targeted a foreign ministry in Europe and in North America using spear-phishing techniques for the purpose of espionage.,Espionage,High,Investigating
4/12/2018,,"This threat actor uses spear-phishing techniques to target parliaments, government ministries, academics, and media organizations, primarily in the Middle East, for the purpose of espionage.",Espionage,Medium,Resolved
4/24/2018,Believed to be the work of the Lazarus Group,"A threat actor targets critical infrastructure and organizations in the entertainment, finance, health-care, education, and telecommunications sectors.",Espionage,HIgh,Resolved
10/30/2018,China's Jiangsu Ministry of State Security,"This threat actor reportedly intruded into American aerospace companies' computer systems to steal intellectual property and business information, including information related to turbofan engines used in commercial aircraft.",Espionage,Critical,Investigating
3/16/2018,Believed to be the work of Turla,"A threat actor has compromised the German Foreign Office, for the purpose of espionage.",Espionage,High,Investigating
12/14/2018,Believed to be the work of APT 10.,"In a series of incidents, Chinese hackers breached U.S. Navy contractors’ systems to steal information including ship maintenance data and missile plans.",Espionage,Low,Open
3/15/2018,Believed to be the work of APT 28,"A threat actor targeted a European defense agency with a spear-phishing email, which only deploys a payload if the victim opens an email attachment and scrolls to page 3.",Espionage,Critical,Resolved
3/14/2018,Also known as Cloud Atlas and Red October.,"This threat actor uses spear-phishing techniques to target embassies and private-sector energy, defense, aerospace, research, international economics, and media organizations in Africa, Europe, and the Middle East, for the purpose of espionage. It was first identified in 2014 and has been active since.",Espionage,High,Open
4/22/2018,Believed to be the work of APT 10,This threat actor targets Japanese media and defense companies for espionage purposes.,Espionage,High,Investigating
1/1/2018,Also known as Phosphoros and Newscaster Team,"This threat actor, whose activities date back to 2014, conducts long-term operations to collect strategic intelligence. They target U.S. and Middle Eastern defense, diplomatic, and government personnel, as well as private industries, including media, energy, business services, and telecommunications.",Espionage,Medium,Investigating
5/3/2018,"Believed to be associated with the Axiom, APT 17, and Mirage threat actors. Believed to share the same tools and infrastructure as the threat actors that carried out Operation Aurora, the 2015 targeting of video game companies, the 2015 targeting of the Thai government, and the 2017 targeting of Chinese-language news websites","This threat actor targets software companies and political organizations in the United States, China, Japan, and South Korea. It primarily acts to support cyber operations conducted by other threat actors affiliated with Chinese intelligence services.",Espionage,HIgh,Resolved
5/17/2018,"Believed to be linked to the compromise of Saudi Aramco, malware Shamoon 2.0, and the OilRig threat actor","This threat actor targets organizations involved in oil, gas, and electricity production, primarily in the Gulf region, for espionage purposes. According to one cybersecurity company, the threat actor “compromises a target machine and passes it off to another threat actor for further exploitation.”",Espionage,Critical,Resolved
10/3/2018,Suspected to be the work of the Lazarus Group.,A North Korean group is believed to have stolen hundreds of millions of dollars by infiltrating the computer systems of banks around the world since 2014.,Financial Theft,High,Investigating
12/20/2018,China's Tianjin State Security Bureau,"The threat actor compromised eight technology service providers, including Hewlett Packard Enterprise and IBM (their cloud services in particular were targeted), to steal commercial secrets from over forty-five client technology companies. The victims include Swedish telecom giant Ericsson, U.S. Navy shipbuilder Huntington Ingalls Industries, and travel reservation system Sabre.",Espionage,Low,Investigating
1/12/2018,Believed to be the work of APT 28,A threat actor targeted international sports organizations in Western Europe in the run-up to the International Olympic Committee’s banning Russian athletes from participating in the 2018 Winter Olympics in South Korea.,Espionage,Critical,Open
6/8/2018,,"A threat actor compromises the networks of a contractor for the U.S. Navy, exfiltrating 614 gigabytes of sensitive information, including data related to a new U.S. anti-ship missile and submarine communications systems.",Espionage,High,Resolved
9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted U.S. movie theater chain AMC Theatres in 2014 using spear-phishing techniques. The U.S. Department of Justice alleges that the incident was related to the chain's screenings of The Interview, a movie depicting the assassination of North Korean leader Kim Jong-un.",Espionage,High,Open
12/18/2018,Suspected to be the work of Chinese military hackers.,"Hackers have infiltrated the EU’s diplomatic communication network for years, using phishing attacks to steal sensitive documents related to trade negotiations and meetings with foreign leaders.",Espionage,Medium,Investigating
2/12/2018,Believed to be the work of the Lazarus Group,"A threat actor targeted financial organizations and bitcoin users, for the purpose of identifying individuals with bitcoin wallets.",Espionage,HIgh,Investigating
7/10/2018,Believed to be the work of Leviathan,"A threat actor compromises opposition parties, as well as organizations charged with overseeing the 2018 Cambodian elections, for espionage purposes.",Espionage,Critical,Resolved
10/4/2018,Believed to be the work of APT 28,"A threat actor, believed to be Russian military intelligence, targeted the office of the Organization for the Prohibition of Chemical Weapons in The Hague with a view of compromising its Wi-Fi network for espionage purposes. Dutch authorities were able to foil the operation, and in a joint press conference with UK officials publicly identified four suspected Russian intelligence officers involved. The United States, Australia, Canada, and New Zealand issued statements denouncing Russia's cyber operations.",Espionage,High,Resolved
5/31/2018,Believed to use similar tools as the Lazarus Group,"This threat actor compromises the networks of companies involved in electric power, specifically looking for intellectual property and information about the companies’ operations.",Espionage,Low,Investigating
11/2/2018,Unknown,"Austal, a major Australian defense contractor and shipbuilder, was targeted in a data breach. Hackers gained access to ship designs and personnel contact information.",,Critical,Investigating
3/15/2018,Believed to be linked to the Crouching Yeti threat actor,"A threat actor that the U.S. government believes to be sponsored by the Russian government, targets entities in the U.S. energy, nuclear power, water, aviation, and critical manufacturing sectors. According to the Department of Homeland Security, this activity has been ongoing since at least 2014.",Espionage,High,Open
9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted Mammoth Screen, a UK production company that produced Opposite Number, a television drama set in North Korea.",Espionage,High,Resolved
12/20/2018,Possibly linked to an Iran-based group that uses the Shamoon virus to target oil and gas entities with a connection to Saudi Arabia.,"An attack on the Italian oil firm Saipem targeted servers based in India, Kuwait, Saudi Arabia, Scotland, and the United Arab Emirates. Hackers used a variant of the Shamoon virus.",Espionage,Medium,Open
1/9/2018,Believed to be the work of Turla,A threat actor targeted consulates and embassies in Eastern Europe for the purpose of espionage.,Espionage,HIgh,Investigating
5/18/2018,Also known as Transparent Tribe and C-Major,"This threat actor uses social engineering and spear phishing to target military and defense organizations in India, for the purpose of espionage.",Espionage,Critical,Investigating
10/4/2018,Believed to be the work of APT 28,"A threat actor compromised the U.S. Anti-Doping Agency. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",Doxing,High,Resolved
6/14/2018,Believed to be linked to Crouching Yeti,"This threat actor targets industrial control systems in Turkey, Europe, and North America.",Espionage,Low,Resolved
11/20/2018,Believed to be the work of Gamaredon.,A Russian actor tied to Russia’s Federal Security Service (FSB) targeted Ukrainian government agencies with a backdoor attacker called Pterodo before and during Russia’s seizure of Ukrainian vessels.,Espionage,Critical,Investigating
1/18/2018,,"A threat actor used a tool, Dark Caracal, to target military personnel, activists, journalists, and lawyers for espionage purposes.",Espionage,High,Investigating
6/7/2018,,A threat actor uses a zero-day vulnerability in Adobe Flash software to compromise a diplomatic target in Qatar.,Espionage,High,Open
9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted the networks of Lockheed Martin, a U.S. defense contractor. It is one of the developers of the Terminal High Altitude Area Defense (THAAD) system installed in South Korea.",Espionage,Medium,Resolved
12/28/2018,Suspected to be the work of North Korean authorities.,The personal information of nearly one thousand North Koreans who defected to South Korea was leaked after unknown hackers gained access to the database of South Korea’s resettlement agency.,Doxing,HIgh,Open
6/15/2018,Also known as Bronze President.,This threat actor targets nongovernmental organizations using Mongolian-themed lures for espionage purposes.,Espionage,Critical,Investigating
10/4/2018,Believed to be the work of APT 28,"A threat actor compromised the Court of Arbitration for Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",Doxing,High,Investigating
11/5/2018,Linked to Turbine Panda and China's Ministry of State Security,"This threat actor, headquartered in Nanjing, China, is a provincial foreign intelligence arm of China's Ministry of State Security. Its activities include domestic counterintelligence, nonmilitary foreign intelligence, and political and domestic security. From at least January 2010, this threat actor has targeted U.S. and European commercial airliners for the purpose of stealing trade secrets. Several intelligence officers have been charged and indicted by the U.S. Department of Justice.",Espionage,Low,Resolved
7/11/2018,Believed to be the work of the same threat actors behind the alleged Russian compromise of networking equipment,A threat actor used a tool called VPNFilter to target a chemical plant in eastern Ukraine that provides chlorine to water- and sewage-treatment plants in that country. Ukraine’s intelligence service claims to have thwarted the incident.,Sabotage,Critical,Resolved
11/27/2018,Believed to be the work of the Mexican government.,The Mexican government is suspected of using spyware to infiltrate journalists’ messages.,Espionage,High,Investigating
2/1/2018,,"This threat actor targets governments as well as technology, education, and telecommunications companies primarily in Asia and the United States, for the purpose of espionage.",Espionage,High,Investigating
6/19/2018,Believed to be the work of the same actors behind the compromise of the 2018 Winter Olympics,"A threat actor uses a tool, called Olympics Destroyer, to target financial organizations in Russia and biological and chemical laboratories in Ukraine and other countries in Europe.",Espionage,Medium,Open
9/19/2018,,"A threat actor targeted the personal email accounts of U.S. senators and staffers, according to Senator Ron Wyden (D-OR) and an unnamed technology company.",Espionage,HIgh,Resolved
7/6/2018,,A threat actor has compromised the network of Australian National University for espionage purposes.,Espionage,Critical,Open
10/4/2018,Believed to be the work of APT 28,"A threat actor compromised the Canadian Centre for Ethics in Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department. Canada issued a statement attributing the incident to Russian military intelligence.",Doxing,High,Investigating
11/2/2017,Believed to be the work of APT 28,"A threat actor attempted to compromise Bellingcat, a citizen journalism website that conducts investigations, including about Russian involvement in the Syrian and Ukrainian conflicts.",Espionage,Low,Investigating
6/14/2017,Believed to be the work of the Lazarus Group.,"A threat actor used a tool called WannaCry to encrypt data in compromised networks, and intended to provide the victims with the decryption key only after a ransom had been paid. The threat actors used an exploit, called EternalBlue--first discovered by the U.S. National Security Agency--to propagate WannaCry in organizations using the Windows operating system. On December 19, 2017, the United States, Australia, Canada, Japan, and the United Kingdom issued statements accusing North Korea of being responsible for WannaCry.

In September 2018, the U.S. Department of Justice announced criminal charges alleging that North Korean entities were responsible for this incident.",Data destruction,Critical,Resolved
9/20/2017,Also known as Magnallium and Elfin. Suspected to be linked to the Shamoon malware attacks in 2018.,"This threat actor is an Iranian state-sponsored APT that targets private-sector entities in the aviation, energy, and petrochemical sectors for the purpose of espionage. It first became active in late 2015 or early 2016, and has been involved in a three-year campaign against multiple firms in the United States and Saudi Arabia. On December 19, 2018, McAfee attributed the 2016 and 2017 Shamoon wiper malware attacks on several companies in the Middle East and Europe to APT 33.",Espionage,High,Resolved
12/6/2017,,"A threat actor targeted Ethiopian dissidents for the purpose of espionage, using commercially available spyware sold by Cyberbit, an Israel-based company. Cyberbit is also believed to have tried to sell its spyware to law enforcement and national security organizations in the Philippines, Thailand, Uzbekistan, and Zambia.",Espionage,High,Investigating
9/15/2017,Believed to be the work of Turla,"A threat actor targeted servers controlled by the Swiss Federal Department of Defense, Civil Protection, and Sports.",Espionage,Medium,Investigating
9/11/2017,Believed to be the work of a subset of the Lazarus Group known as Bluenoroff,A threat actor targeted cryptocurrency exchanges in South Korea for the purpose of raising money.,Financial Theft,HIgh,Open
10/24/2017,Believed to be the work of APT 28,"Using a tool called Bad Rabbit, a threat actor launched a ransomware operation that encrypted data on networks in Bulgaria, Japan, Russia, Turkey, and Ukraine. The operation is believed to have disrupted the Kiev metro system's payment network and delayed flights at Odessa's airport. In October 2018, the United Kingdom attributed this incident to Russian military intelligence.",Sabotage,Critical,Resolved
11/14/2017,Also known as TEMP.Zagros and Seedworm. ,"This threat actor targets governments, primarily in the Middle East and South Asia, for espionage purposes.",Espionage,High,Open
4/3/2017,Believed to be the work of APT 28. ,"A threat actor compromises the networks of the International Association of Athletics Federations with the purpose of obtaining the medical records of athletes. In October 2018, the United States indicted seven alleged Russian military intelligence officials involved in the incident.",Espionage,Low,Investigating
6/20/2017,,"A threat actor targeted individuals who were political critics and business rivals of Ricardo Martinelli, president of Panama between 2009 and 2014, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",Espionage,Critical,Investigating
10/7/2017,Believed to be the work of the Lazarus Group,"A threat actor compromised the networks of Far Eastern International Bank in Taiwan, allowing them to transfer US$60 million to accounts based in the United States, Cambodia, and Sri Lanka using the SWIFT network.",Financial Theft,High,Resolved
3/30/2017,Believed to be the work of APT 28,"A threat actor compromised Islam Channel, a small UK TV station, in July 2015. In October 2018, the United Kingdom publicly attributed the compromise to Russian military intelligence.",Espionage,High,Resolved
10/16/2017,"Also known as TEMP.Periscope, Leviathan, and Mudcarp. Believed to be behind the compromise of Cambodia’s election organizations and the Target of universities' maritime military secrets.","This threat actor targets defense contractors, law firms, engineering firms, shipping companies, and government agencies with responsibilities or business in the maritime industry.",Espionage,Medium,Investigating
7/1/2017,Possibly linked to Sandworm.,"Threat actors deploy a tool, called NotPetya, with the purpose of encrypting data on victims' machines and rendering it unusable. The malware was spread through tax software that companies and individuals require for filing taxes in Ukraine. Australia, Estonia, Denmark, Lithuania, Ukraine, the United Kingdom, and the United States issued statements attributing NotPetya to Russian state-sponsored actors. In June 2018, the United States sanctioned Russian organizations believed to have assisted the Russian state-sponsored actors with the operation. ",Data destruction,HIgh,Investigating
10/20/2017,Possibly linked to APT 30,"This threat actor, using a tool called JadeRAT, targets the mobile phones of ethnic minorities in China, notably Uighurs, for the purpose of espionage.

 ",Espionage,Critical,Open
10/12/2017,Also known as Tick and RedBaldKnight,"This threat actor targets organizations in the critical infrastructure, heavy industry, manufacturing, and international relations sectors for espionage purposes.",Espionage,High,Resolved
11/27/2017,,"The U.S. Department of Justice indicted three members of Boyusec, a China-based internet security firm, on charges including conspiring to commit computer fraud and abuse and conspiring to commit trade-secret theft. The victims included Moody’s Analytics, Siemens, and Trimble. Though not mentioned in the indictment, Boyusec is believed to work on behalf of China’s Ministry of State Security.",Espionage,Low,Open
4/4/2017,"Also known as Cloud Hopper, Red Apollo, CNVX, Stone Panda, MenuPass, and POTASSIUM. Believed to be a part of the Tianjin bureau of the Chinese Ministry of State Security.",This threat actor targets managed information technology service providers to access client information for espionage purposes. APT 10 has been active since at least 2009.,Espionage,Critical,Investigating
10/10/2017,Believed to be the work of the same threat actors who used the Duqu 2.0 tool. ,"A threat actor, believed to be the Israeli government, compromised Kaspersky Labs, a Russia-based cybersecurity company. The compromise of Kaspersky allegedly led Israeli intelligence to tip off U.S. officials that a former contractor had classified data from the National Security Agency on his home computer.",Espionage,High,Investigating
12/7/2017,Possibly linked to OilRig,"This threat actor targets organizations in the financial, energy, government, chemical, and telecommunications sectors worldwide for the purpose of espionage.",Espionage,High,Resolved
1/23/2017,,Greenbug is believed to be an Iranian threat actor with ties to the group behind the Shamoon malware. It has previously used off-the-shelf tools and living-off-the-land techniques to gain access to South Asian telecommunication companies’ servers. It has also used custom remote access trojans (RAT) to steal information and credentials from Middle Eastern targets.,,Medium,Resolved
9/28/2017,Possibly linked to NetTraveler,"A threat actor targeted the government of Belarus for espionage purposes, using a tool known as Travle or PYLOT, which is believed to be an update of malware used by NetTraveler.",Espionage,HIgh,Investigating
7/5/2017,Believed to be the work of Winnti Umbrella,"A threat actor targeted the China Digital Times, a civil-society and news organization based outside China that publishes English- and Chinese-language content, using phishing techniques with the goal of compromising its network.",Espionage,Critical,Investigating
6/25/2017,,"A threat actor attempted to gain access to email accounts associated with members and other staffers of the British Parliament. The incident, originally believed to be the work of Russian or North Korean actors, was later attributed to Iran.",Espionage,High,Open
7/25/2017,,"This threat actor targets government institutions, universities, defense contractors, and large IT companies for the purpose of espionage.",Espionage,Low,Resolved
1/31/2017,APT 28,"A threat actor compromised the computer networks of the Ministry of Foreign Affairs of the Czech Republic, including those used by the foreign minister and close aides.",Espionage,Critical,Open
11/7/2017,,This threat actor targets government organizations with a foreign policy role primarily in Latin America for espionage purposes. The threat actor uses the tools Felismus and Starloader.,Espionage,High,Investigating
10/10/2017,,A threat actor targeted U.S. electric companies with spear-phishing emails in an attempt to gain access to internal networks.,Espionage,High,Investigating
7/16/2017,,"Qatar claims the website of the Qatar News Agency was compromised by an unknown actor, who posted false remarks attributed to the Emir of Qatar that expressed support for Iran, Israel, Hezbollah and Hamas. The Washington Post reports that U.S. intelligence officials have identified the unknown actor as the United Arab Emirates.",Defacement,Medium,Resolved
2/4/2017,Believed to be the work of the Dukes,"A threat actor targeted the computer networks of the Norwegian government: the Ministry of Foreign Affairs, the army, a nuclear radiation protection agency, and a parliamentary group.",Espionage,HIgh,Resolved
2/16/2017,,"A threat actor used a tool called ViperRAT to target Israeli Defense Force personnel and compromise devices running the Android operating system, allowing a remote actor to access the devices' video and audio capabilities as well as text message and location data.",Espionage,Critical,Investigating
6/19/2017,,"A threat actor targets journalists, lawyers, and other civil society groups in Mexico using commercial malware, developed by the NSO Group, for the purpose of espionage.",Espionage,High,Investigating
