dataset_name,category,source,last_updated,record_count,file_size_mb
HR Transactions 2025 Q1,HR,Survey Tool,2025-02-22,4513751,382.05
R&D Transactions 2025 Q1,R&D,API,2025-09-08,4436794,1932.17
R&D Sensor Data 2025 Q4,R&D,Survey Tool,2025-02-28,2928603,710.45
Sales Sensor Data 2024 Q3,Sales,Survey Tool,2025-10-30,720951,1347.5
R&D Logs 2024 Q3,R&D,Internal System,2025-04-04,3141518,1389.94
Operations Survey Data 2024 Q4,Operations,Public Dataset,2025-04-06,4092485,1274.65
Finance Sensor Data 2024 Q4,Finance,API,2025-03-13,1579496,636.01
Sales Sensor Data 2024 Q3,Sales,Internal System,2025-09-06,1155336,398.31
Operations Sensor Data 2025 Q4,Operations,IoT Sensors,2025-09-09,3496560,1423.18
Sales Survey Data 2024 Q1,Sales,Survey Tool,2025-01-16,1859935,591.26
Marketing Transactions 2025 Q2,Marketing,Public Dataset,2025-10-17,4164989,1103.96
Cyber Sensor Data 2024 Q3,Cyber,Survey Tool,2025-07-07,4556989,1647.0
IT Feed 2025 Q2,IT,Public Dataset,2025-02-22,2086445,602.44
IT Survey Data 2025 Q3,IT,Internal System,2025-08-13,994705,1553.51
HR Transactions 2025 Q4,HR,External Feed,2025-11-12,1177987,1571.85
HR Feed 2024 Q3,HR,Survey Tool,2025-05-24,4529518,345.07
Marketing Analytics 2025 Q1,Marketing,External Feed,2025-07-30,507326,1985.05
Finance Records 2024 Q2,Finance,External Feed,2025-06-14,2086639,1525.33
Operations Survey Data 2024 Q3,Operations,IoT Sensors,2025-08-01,3157173,909.46
Cyber Survey Data 2025 Q3,Cyber,Public Dataset,2025-09-07,2755501,1168.09
Cyber Records 2025 Q3,Cyber,Internal System,2025-10-01,3346282,443.48
Operations Feed 2024 Q4,Operations,API,2025-06-15,2388951,682.13
Finance Sensor Data 2025 Q3,Finance,IoT Sensors,2025-01-25,395397,208.15
Sales Logs 2024 Q2,Sales,Public Dataset,2025-08-22,15670,1983.76
Operations Transactions 2024 Q3,Operations,External Feed,2025-05-21,792992,1312.63
Marketing Logs 2025 Q2,Marketing,Internal System,2025-07-22,2572797,1454.72
HR Survey Data 2024 Q1,HR,Internal System,2025-04-20,4009744,165.1
HR Sensor Data 2025 Q1,HR,Internal System,2025-06-25,1021613,1976.43
Operations Records 2024 Q4,Operations,Internal System,2025-04-28,3223423,187.77
Cyber Logs 2025 Q3,Cyber,API,2025-03-12,3220496,1549.19
Finance Records 2024 Q1,Finance,Survey Tool,2025-10-16,81091,1224.54
Finance Survey Data 2025 Q2,Finance,IoT Sensors,2025-03-19,3463672,1235.99
Sales Feed 2024 Q1,Sales,Internal System,2025-03-13,1043117,1183.25
Operations Analytics 2025 Q3,Operations,External Feed,2025-05-07,2333373,1292.79
HR Sensor Data 2025 Q1,HR,IoT Sensors,2025-06-04,1733403,1040.32
HR Records 2025 Q3,HR,IoT Sensors,2025-01-28,2017738,994.83
Cyber Transactions 2025 Q1,Cyber,Survey Tool,2025-01-07,3039111,1868.51
Finance Survey Data 2025 Q3,Finance,Survey Tool,2025-03-30,3961157,1909.36
Cyber Logs 2024 Q1,Cyber,API,2025-04-21,344091,1845.93
Operations Sensor Data 2025 Q4,Operations,Public Dataset,2025-07-25,701454,1284.67
Finance Analytics 2024 Q3,Finance,Internal System,2025-09-19,1714544,1948.88
Finance Sensor Data 2025 Q4,Finance,Survey Tool,2025-11-21,564613,627.24
Operations Records 2024 Q1,Operations,External Feed,2025-02-14,3654712,240.81
IT Analytics 2024 Q1,IT,Internal System,2025-03-12,105215,336.03
R&D Sensor Data 2025 Q2,R&D,API,2025-03-06,2264559,1468.54
Cyber Feed 2024 Q3,Cyber,Public Dataset,2025-05-20,4404407,137.11
Cyber Survey Data 2025 Q3,Cyber,Internal System,2025-09-13,4765385,342.09
Finance Analytics 2024 Q1,Finance,External Feed,2025-09-18,31546,97.64
IT Transactions 2024 Q4,IT,API,2025-07-16,1269001,366.13
IT Sensor Data 2025 Q2,IT,API,2025-05-08,3501813,1832.55
R&D Analytics 2024 Q3,R&D,Internal System,2025-09-15,451846,366.9
IT Survey Data 2024 Q4,IT,API,2025-06-09,2755599,181.91
Sales Logs 2025 Q2,Sales,API,2025-10-16,2559376,1481.76
HR Survey Data 2025 Q4,HR,External Feed,2025-10-07,2066273,309.63
Operations Logs 2024 Q3,Operations,IoT Sensors,2025-01-05,2820329,12.91
Operations Feed 2025 Q1,Operations,External Feed,2025-09-29,2007894,845.43
IT Transactions 2025 Q1,IT,Internal System,2025-04-29,4370056,831.98
R&D Survey Data 2024 Q1,R&D,Survey Tool,2025-03-10,3318058,158.91
IT Survey Data 2024 Q2,IT,API,2025-05-14,2652486,1852.82
Operations Records 2025 Q3,Operations,Public Dataset,2025-05-20,1969673,158.63
HR Transactions 2024 Q2,HR,Internal System,2025-03-26,3781239,937.45
Operations Logs 2025 Q2,Operations,Public Dataset,2025-06-07,3896832,537.37
Cyber Logs 2024 Q3,Cyber,IoT Sensors,2025-11-05,348310,437.89
R&D Transactions 2024 Q2,R&D,API,2025-07-22,4317211,107.41
Marketing Analytics 2024 Q1,Marketing,Public Dataset,2025-08-20,4673678,1498.68
HR Logs 2025 Q1,HR,External Feed,2025-03-04,110301,132.72
HR Transactions 2024 Q4,HR,API,2025-11-19,714973,1168.82
Marketing Feed 2024 Q1,Marketing,Internal System,2025-04-12,3729771,1620.5
Cyber Feed 2025 Q1,Cyber,Internal System,2025-08-25,434779,344.3
Operations Feed 2025 Q4,Operations,Internal System,2025-07-15,3589117,353.89
HR Transactions 2025 Q3,HR,Public Dataset,2025-03-18,300660,1232.07
HR Records 2025 Q4,HR,Public Dataset,2025-10-09,4028402,131.35
Marketing Survey Data 2024 Q4,Marketing,External Feed,2025-11-26,4420848,505.8
IT Survey Data 2025 Q4,IT,Survey Tool,2025-09-06,2895967,1826.23
R&D Survey Data 2025 Q2,R&D,Internal System,2025-06-13,1847274,68.31
Marketing Logs 2025 Q3,Marketing,Survey Tool,2025-04-30,1349029,209.27
HR Analytics 2024 Q2,HR,Survey Tool,2025-07-18,2986316,1871.06
Finance Transactions 2024 Q3,Finance,IoT Sensors,2025-07-03,4972385,66.13
R&D Sensor Data 2024 Q2,R&D,Public Dataset,2025-10-05,2602525,359.36
IT Logs 2024 Q2,IT,Survey Tool,2025-04-23,177168,1057.63
IT Analytics 2024 Q2,IT,API,2025-04-01,2724459,128.52
Finance Sensor Data 2024 Q1,Finance,Survey Tool,2025-07-06,618439,753.45
Operations Sensor Data 2024 Q3,Operations,API,2025-06-15,1154639,1951.96
Operations Feed 2025 Q3,Operations,External Feed,2025-10-15,3003269,454.24
Finance Survey Data 2025 Q3,Finance,External Feed,2025-04-01,25081,1898.09
Operations Feed 2024 Q2,Operations,Survey Tool,2025-06-12,1863003,1282.9
Cyber Survey Data 2024 Q3,Cyber,IoT Sensors,2025-02-09,2006454,700.15
R&D Transactions 2024 Q3,R&D,Public Dataset,2025-01-06,2234763,427.27
Cyber Analytics 2025 Q1,Cyber,IoT Sensors,2025-01-01,413890,778.01
Operations Transactions 2025 Q4,Operations,Public Dataset,2025-06-29,4590381,756.94
Sales Feed 2024 Q2,Sales,Public Dataset,2025-02-07,290286,596.87
R&D Analytics 2024 Q1,R&D,API,2025-03-29,3159569,330.2
Cyber Sensor Data 2024 Q3,Cyber,Survey Tool,2025-11-11,4059489,1411.96
Operations Records 2024 Q4,Operations,External Feed,2025-01-28,859412,668.88
HR Survey Data 2025 Q3,HR,API,2025-05-02,814601,108.77
Sales Transactions 2024 Q3,Sales,Internal System,2025-08-07,745079,596.15
Sales Transactions 2024 Q1,Sales,External Feed,2025-03-29,2457891,1954.34
Sales Feed 2024 Q3,Sales,Public Dataset,2025-08-30,4112841,1790.81
Marketing Logs 2025 Q2,Marketing,API,2025-07-15,3108765,381.3
IT Analytics 2025 Q4,IT,API,2025-04-26,2262861,1132.85
Finance Feed 2024 Q1,Finance,IoT Sensors,2025-06-26,4552003,833.83
HR Sensor Data 2024 Q4,HR,Survey Tool,2025-08-03,4502220,1377.27
Sales Sensor Data 2024 Q4,Sales,API,2025-02-10,3321859,1806.53
IT Sensor Data 2024 Q1,IT,Public Dataset,2025-03-30,1412279,1944.61
HR Transactions 2024 Q4,HR,Internal System,2025-08-11,1703821,1994.57
Finance Feed 2025 Q3,Finance,IoT Sensors,2025-02-04,740039,782.32
Operations Sensor Data 2025 Q3,Operations,Survey Tool,2025-08-23,113715,1575.24
Operations Logs 2025 Q2,Operations,External Feed,2025-10-18,4941948,1169.53
Cyber Logs 2024 Q3,Cyber,Survey Tool,2025-06-26,3456795,535.63
Sales Sensor Data 2025 Q1,Sales,External Feed,2025-05-22,3390390,296.27
Operations Logs 2025 Q3,Operations,IoT Sensors,2025-05-02,423482,1494.04
Marketing Analytics 2024 Q3,Marketing,API,2025-06-09,2361718,1687.26
Cyber Feed 2024 Q2,Cyber,API,2025-08-15,2701638,546.15
Operations Sensor Data 2024 Q2,Operations,Public Dataset,2025-04-19,3425592,1484.48
R&D Feed 2024 Q2,R&D,Internal System,2025-06-09,4261306,812.74
IT Transactions 2024 Q2,IT,Internal System,2025-05-08,287420,918.33
R&D Records 2024 Q3,R&D,API,2025-08-26,4247307,799.92
Cyber Records 2024 Q2,Cyber,API,2025-09-08,4993198,897.75
Sales Sensor Data 2025 Q3,Sales,External Feed,2025-05-13,768262,577.29
Operations Logs 2024 Q2,Operations,External Feed,2025-11-28,1898376,1358.61
Marketing Records 2025 Q1,Marketing,IoT Sensors,2025-01-05,3987015,1823.92
Finance Sensor Data 2024 Q2,Finance,API,2025-11-08,2572381,1428.35
Marketing Survey Data 2025 Q3,Marketing,Public Dataset,2025-05-10,1840470,938.73
Operations Sensor Data 2024 Q1,Operations,Survey Tool,2025-07-11,4719843,1298.21
Marketing Analytics 2024 Q4,Marketing,Internal System,2025-06-22,2329309,1284.78
Marketing Analytics 2025 Q2,Marketing,External Feed,2025-09-22,2025799,1800.38
Operations Records 2025 Q2,Operations,IoT Sensors,2025-01-14,4182265,1994.96
Marketing Survey Data 2025 Q4,Marketing,IoT Sensors,2025-01-19,4900757,1419.06
HR Analytics 2024 Q4,HR,IoT Sensors,2025-07-03,4265665,607.39
Finance Feed 2024 Q3,Finance,Internal System,2025-08-30,1083273,1484.43
Finance Records 2025 Q1,Finance,External Feed,2025-07-01,1883410,1490.98
Marketing Survey Data 2025 Q3,Marketing,API,2025-10-27,2476679,932.88
Cyber Survey Data 2024 Q1,Cyber,Public Dataset,2025-04-10,4208308,248.43
Operations Sensor Data 2025 Q4,Operations,Internal System,2025-03-19,1162303,1984.77
R&D Survey Data 2025 Q2,R&D,API,2025-04-03,687895,980.29
Finance Analytics 2024 Q1,Finance,Public Dataset,2025-05-21,1766426,1524.77
Finance Sensor Data 2024 Q4,Finance,Internal System,2025-03-08,3648235,1270.64
Operations Survey Data 2025 Q4,Operations,Internal System,2025-01-20,4487693,406.83
R&D Logs 2025 Q2,R&D,Internal System,2025-01-03,2097279,460.27
R&D Analytics 2024 Q1,R&D,Public Dataset,2025-09-15,4948127,619.17
Cyber Feed 2024 Q3,Cyber,API,2025-08-22,4374495,1196.78
R&D Survey Data 2024 Q3,R&D,Public Dataset,2025-07-03,1590632,338.12
Operations Logs 2024 Q2,Operations,IoT Sensors,2025-03-09,1781592,1470.81
Finance Logs 2025 Q1,Finance,Public Dataset,2025-11-24,2155715,1544.79
IT Sensor Data 2024 Q1,IT,IoT Sensors,2025-01-11,414624,1382.6
Operations Survey Data 2025 Q1,Operations,Survey Tool,2025-05-10,3989524,1406.72
HR Records 2024 Q3,HR,Public Dataset,2025-02-21,4374670,547.25
Finance Survey Data 2024 Q1,Finance,API,2025-02-28,901404,1000.5
HR Feed 2025 Q2,HR,API,2025-07-29,2487585,329.14
Sales Transactions 2025 Q3,Sales,External Feed,2025-01-02,116949,1346.55
