id,date,incident_type,severity,status,description,reported_by,created_at
281,2026-05-29,DDoS,Medium,Closed,Short connection interruptions resolved,charlie,2026-05-29 13:30:00
282,2026-05-30,Phishing,High,Open,Multiple email spoofing attempts,frank,2026-05-30 09:55:00
283,2026-05-31,Malware,Medium,Resolved,USB-based malware quarantined,alice,2026-05-31 11:45:00
284,2026-06-01,Phishing,High,Open,Attackers using fake MFA prompts,diana,2026-06-01 10:10:00
285,2026-06-02,Ransomware,Critical,Investigating,Persistent encryption attempts observed on device,emma,2026-06-02 12:40:00
286,2026-06-03,Phishing,High,Open,Malicious sign-in alerts reported,bob,2026-06-03 09:50:00
287,2026-06-04,DDoS,Medium,Closed,Traffic imbalance handled,charlie,2026-06-04 13:00:00
288,2026-06-05,Phishing,High,Open,Emails containing malicious QR codes,frank,2026-06-05 10:15:00
289,2026-06-06,Malware,Medium,Resolved,Remote access trojan removed,alice,2026-06-06 11:10:00
290,2026-06-07,Phishing,High,Open,Rise in fraudulent login attempts,diana,2026-06-07 09:55:00
291,2026-06-08,Ransomware,Critical,Investigating,Encryption behavior detected in logs,emma,2026-06-08 12:35:00
292,2026-06-09,Phishing,High,Open,Attackers attempting MFA bypass,bob,2026-06-09 10:10:00
293,2026-06-10,DDoS,Medium,Closed,Network saturation detected and mitigated,charlie,2026-06-10 13:20:00
294,2026-06-11,Phishing,High,Open,Fake conference invitation emails,frank,2026-06-11 10:05:00
295,2026-06-12,Malware,Medium,Resolved,Infected spreadsheet cleaned,alice,2026-06-12 11:30:00
296,2026-06-13,Phishing,High,Open,Employees reported suspicious wire transfer requests,diana,2026-06-13 09:50:00
297,2026-06-14,Ransomware,Critical,Investigating,Attempted spread detected in network,emma,2026-06-14 12:15:00
298,2026-06-15,Phishing,High,Open,Malicious links sent from compromised vendor account,bob,2026-06-15 10:20:00
299,2026-06-16,DDoS,Medium,Closed,Load balancer mitigated traffic overload,charlie,2026-06-16 13:40:00
300,2026-06-17,Phishing,High,Open,Phishing attack using fake authentication alerts,frank,2026-06-17 09:55:00
301,2026-03-24,Phishing,High,Open,Phishing emails with malicious URLs detected,emma,2026-03-24 10:10:00
302,2026-03-25,Malware,Medium,Resolved,Malware detected and removed from laptop,bob,2026-03-25 11:20:00
303,2026-03-26,Ransomware,Critical,Investigating,Ransomware behavior detected in logs,charlie,2026-03-26 12:40:00
304,2026-03-27,DDoS,Medium,Closed,API outage mitigated successfully,frank,2026-03-27 13:15:00
305,2026-03-28,Phishing,High,Open,Fake payroll update emails circulating,alice,2026-03-28 09:55:00
306,2026-03-29,Phishing,High,Open,Credential harvesting emails detected,diana,2026-03-29 10:20:00
307,2026-03-30,Malware,Medium,Resolved,Adware removed from workstation,emma,2026-03-30 11:15:00
308,2026-03-31,Ransomware,Critical,Investigating,Ransomware blocked by endpoint security,bob,2026-03-31 12:55:00
309,2026-04-01,Phishing,Critical,Open,Spear-phishing targeting executives,charlie,2026-04-01 09:45:00
310,2026-04-02,DDoS,Medium,Closed,Traffic overload mitigated,frank,2026-04-02 13:05:00
311,2026-04-03,Phishing,High,Open,Employees reporting suspicious emails,alice,2026-04-03 10:00:00
312,2026-04-04,Phishing,High,Open,High-volume email phishing detected,diana,2026-04-04 10:25:00
313,2026-04-05,Malware,Medium,Resolved,Trojan successfully removed,emma,2026-04-05 11:35:00
314,2026-04-06,Ransomware,Critical,Investigating,Encrypted file attempts detected,bob,2026-04-06 12:10:00
315,2026-04-07,Phishing,High,Open,Phishing emails impersonating HR,charlie,2026-04-07 09:55:00
316,2026-04-08,DDoS,Medium,Closed,Website load spike mitigated,frank,2026-04-08 13:30:00
317,2026-04-09,Phishing,Critical,Open,Executive-targeted phishing attack reported,alice,2026-04-09 09:40:00
318,2026-04-10,Malware,Medium,Resolved,Malware blocked by antivirus,diana,2026-04-10 11:20:00
319,2026-04-11,Ransomware,Critical,Investigating,Ransomware detected on finance machine,emma,2026-04-11 12:05:00
320,2026-04-12,Phishing,High,Open,Multiple phishing attempts blocked,bob,2026-04-12 10:10:00
321,2026-04-13,Phishing,High,Open,Fake login portal reported,charlie,2026-04-13 09:50:00
322,2026-04-14,DDoS,Medium,Closed,Botnet traffic mitigated,frank,2026-04-14 13:45:00
323,2026-04-15,Phishing,High,Open,Phishing emails reported in sales team,alice,2026-04-15 09:55:00
324,2026-04-16,Malware,Medium,Resolved,Spyware removed from employee laptop,diana,2026-04-16 11:30:00
325,2026-04-17,Ransomware,Critical,Investigating,Suspicious encryption process stopped,emma,2026-04-17 12:00:00
326,2026-04-18,Phishing,High,Open,Spear-phishing campaign targeting finance,bob,2026-04-18 10:05:00
327,2026-04-19,Phishing,High,Open,Credential harvesting attack detected,charlie,2026-04-19 09:45:00
328,2026-04-20,DDoS,Medium,Closed,Temporary outage resolved,frank,2026-04-20 13:25:00
329,2026-04-21,Phishing,Critical,Open,Targeted phishing in HR department,alice,2026-04-21 09:35:00
330,2026-04-22,Malware,Medium,Resolved,Trojan blocked by firewall,diana,2026-04-22 11:10:00
331,2026-04-23,Ransomware,Critical,Investigating,Finance workstation showing signs of compromise,emma,2026-04-23 12:45:00
332,2026-04-24,Phishing,High,Open,Employees reporting spoofed emails,bob,2026-04-24 10:00:00
333,2026-04-25,Phishing,High,Open,Phishing attachments detected,charlie,2026-04-25 09:55:00
334,2026-04-26,DDoS,Medium,Closed,API traffic spike mitigated,frank,2026-04-26 13:20:00
335,2026-04-27,Phishing,High,Open,Phishing emails with fake invoices,alice,2026-04-27 09:40:00
336,2026-04-28,Malware,Medium,Resolved,Adware successfully removed,diana,2026-04-28 11:05:00
337,2026-04-29,Ransomware,Critical,Investigating,Unauthorized encryption attempt detected,emma,2026-04-29 12:30:00
338,2026-04-30,Phishing,High,Open,Multiple phishing campaigns active,bob,2026-04-30 10:15:00
339,2026-05-01,Phishing,High,Open,CEO impersonation phishing detected,charlie,2026-05-01 09:55:00
340,2026-05-02,DDoS,Medium,Closed,Website latency due to traffic storm,frank,2026-05-02 13:40:00
341,2026-05-03,Phishing,Critical,Open,Spear-phishing targeting senior staff,alice,2026-05-03 09:50:00
342,2026-05-04,Malware,Medium,Resolved,Keylogger removed from device,diana,2026-05-04 11:25:00
343,2026-05-05,Ransomware,Critical,Investigating,Encrypted files found on server,emma,2026-05-05 12:55:00
344,2026-05-06,Phishing,High,Open,Reports of phishing links,bob,2026-05-06 10:05:00
345,2026-05-07,Phishing,High,Open,Teams-based phishing attempts detected,charlie,2026-05-07 09:45:00
346,2026-05-08,DDoS,Medium,Closed,API slowdown due to attack,frank,2026-05-08 13:10:00
347,2026-05-09,Phishing,High,Open,Large-scale phishing wave detected,alice,2026-05-09 09:55:00
348,2026-05-10,Malware,Medium,Resolved,Malicious script removed from PC,diana,2026-05-10 11:15:00
349,2026-05-11,Ransomware,Critical,Investigating,Ransomware signatures detected,emma,2026-05-11 12:20:00
350,2026-05-12,Phishing,Critical,Open,High-level spear-phishing attack reported,bob,2026-05-12 09:50:00
351,2026-05-13,Phishing,High,Open,Fake login URLs reported,charlie,2026-05-13 10:15:00
352,2026-05-14,DDoS,Medium,Closed,Traffic spike resolved,frank,2026-05-14 13:00:00
353,2026-05-15,Phishing,High,Open,Phishing targeting IT department,alice,2026-05-15 09:45:00
354,2026-05-16,Malware,Medium,Resolved,Adware uninstalled successfully,diana,2026-05-16 11:10:00
355,2026-05-17,Ransomware,Critical,Investigating,Attempted encryption blocked,emma,2026-05-17 12:30:00
356,2026-05-18,Phishing,High,Open,Multiple suspicious emails reported,bob,2026-05-18 10:00:00
357,2026-05-19,Phishing,High,Open,Phishing emails with malicious PDFs,charlie,2026-05-19 09:55:00
358,2026-05-20,DDoS,Medium,Closed,Service slowdown resolved,frank,2026-05-20 13:30:00
359,2026-05-21,Phishing,High,Open,Employees reporting fake system alerts,alice,2026-05-21 09:35:00
360,2026-05-22,Malware,Medium,Resolved,Trojan detected and removed,diana,2026-05-22 11:00:00
361,2026-05-23,Ransomware,Critical,Investigating,Detected ransomware behavior on server,emma,2026-05-23 12:40:00
362,2026-05-24,Phishing,Critical,Open,Executive accounts targeted,bob,2026-05-24 09:45:00
363,2026-05-25,Phishing,High,Open,Credential harvesting attempt,charlie,2026-05-25 10:10:00
364,2026-05-26,DDoS,Medium,Closed,Short outage resolved,frank,2026-05-26 13:25:00
365,2026-05-27,Phishing,High,Open,High-volume phishing detected,alice,2026-05-27 09:55:00
366,2026-05-28,Malware,Medium,Resolved,Spyware successfully removed,diana,2026-05-28 11:20:00
367,2026-05-29,Ransomware,Critical,Investigating,New ransomware variant detected,emma,2026-05-29 12:55:00
368,2026-05-30,Phishing,High,Open,Fake executive emails reported,bob,2026-05-30 10:05:00
369,2026-05-31,Phishing,High,Open,Password reset phishing detected,charlie,2026-05-31 09:50:00
370,2026-06-01,DDoS,Medium,Closed,Attack traffic filtered,frank,2026-06-01 13:10:00
371,2026-06-02,Phishing,High,Open,Malicious attachments reported,alice,2026-06-02 09:45:00
372,2026-06-03,Malware,Medium,Resolved,Malware removed from workstation,diana,2026-06-03 11:05:00
373,2026-06-04,Ransomware,Critical,Investigating,Unauthorized encryption found,emma,2026-06-04 12:15:00
374,2026-06-05,Phishing,High,Open,Suspicious HR-related emails,bob,2026-06-05 10:00:00
375,2026-06-06,Phishing,High,Open,Impersonation emails detected,charlie,2026-06-06 09:55:00
376,2026-06-07,DDoS,Medium,Closed,Public API slowdown resolved,frank,2026-06-07 13:20:00
377,2026-06-08,Phishing,Critical,Open,Senior leadership targeted again,alice,2026-06-08 09:50:00
378,2026-06-09,Malware,Medium,Resolved,Keylogger removed from employee system,diana,2026-06-09 11:15:00
379,2026-06-10,Ransomware,Critical,Investigating,Ransomware attack prevented,emma,2026-06-10 12:20:00
380,2026-06-11,Phishing,High,Open,Large wave of phishing emails,bob,2026-06-11 10:10:00
381,2026-06-12,Phishing,High,Open,Spoofed login pages detected,charlie,2026-06-12 09:45:00
382,2026-06-13,DDoS,Medium,Closed,Traffic spike managed,frank,2026-06-13 13:30:00
383,2026-06-14,Phishing,High,Open,Employees targeted with fake invoices,alice,2026-06-14 09:55:00
384,2026-06-15,Malware,Medium,Resolved,Trojan quarantine successful,diana,2026-06-15 11:25:00
385,2026-06-16,Ransomware,Critical,Investigating,Encrypted documents discovered,emma,2026-06-16 12:40:00
386,2026-06-17,Phishing,High,Open,Multiple suspicious links circulated,bob,2026-06-17 10:10:00
387,2026-06-18,Phishing,High,Open,HR impersonation attack,charlie,2026-06-18 09:50:00
388,2026-06-19,DDoS,Medium,Closed,Minor outage addressed,frank,2026-06-19 13:15:00
389,2026-06-20,Phishing,High,Open,Phishing targeting payroll team,alice,2026-06-20 09:35:00
390,2026-06-21,Malware,Medium,Resolved,Spyware removed,diana,2026-06-21 11:10:00
391,2026-06-22,Ransomware,Critical,Investigating,Detected abnormal encryption patterns,emma,2026-06-22 12:55:00
392,2026-06-23,Phishing,Critical,Open,Targeted spear-phishing in HR,bob,2026-06-23 09:45:00
393,2026-06-24,Phishing,High,Open,Unauthorized login attempt reports,charlie,2026-06-24 10:20:00
394,2026-06-25,DDoS,Medium,Closed,API attack mitigated,frank,2026-06-25 13:00:00
395,2026-06-26,Phishing,High,Open,Multiple employees reported phishing,alice,2026-06-26 09:40:00
396,2026-06-27,Malware,Medium,Resolved,Malware cleaned from device,diana,2026-06-27 11:30:00
397,2026-06-28,Ransomware,Critical,Investigating,Attempted encryption blocked,emma,2026-06-28 12:10:00
398,2026-06-29,Phishing,High,Open,Credential phishing links circulated,bob,2026-06-29 09:55:00
399,2026-06-30,Phishing,High,Open,Organization-wide phishing attack,charlie,2026-06-30 10:00:00
400,2026-07-01,DDoS,Medium,Closed,Botnet traffic mitigated,frank,2026-07-01 13:20:00
